|position x y:| 450.00791722391455 400.4560476016985 |au jour de la planete| 1
|distance Terre planete=| 19.587684021120957 |10^8 km|
||
|position x y:| 450.0016690698734 400.7020746225914 |au jour de la planete| 2
|distance Terre planete=| 19.59469232988909 |10^8 km|
||
|position x y:| 449.9912560605073 400.94806048359453 |au jour de la planete| 3
|distance Terre planete=| 19.60689374590607 |10^8 km|
||
|position x y:| 449.9766790668188 401.1939846090665 |au jour de la planete| 4
|distance Terre planete=| 19.624279186139134 |10^8 km|
||
|position x y:| 449.95793930810987 401.43982642852995 |au jour de la planete| 5
|distance Terre planete=| 19.646835427287098 |10^8 km|
||
|position x y:| 449.9350383518792 401.68556537839197 |au jour de la planete| 6
|distance Terre planete=| 19.674545144328267 |10^8 km|
||
|position x y:| 449.9079781136917 401.9311809036644 |au jour de la planete| 7
|distance Terre planete=| 19.707386960832245 |10^8 km|
||
|position x y:| 449.8767608570178 402.17665245968277 |au jour de la planete| 8
|distance Terre planete=| 19.745335510577092 |10^8 km|
||
|position x y:| 449.8413891930446 402.42195951382524 |au jour de la planete| 9
|distance Terre planete=| 19.788361509918573 |10^8 km|
||
|position x y:| 449.8018660804571 402.6670815472296 |au jour de la planete| 10
|distance Terre planete=| 19.83643184027176 |10^8 km|
||
|position x y:| 449.7581948251907 402.91199805651 |au jour de la planete| 11
|distance Terre planete=| 19.889509639988322 |10^8 km|
||
|position x y:| 449.7103790801549 403.1566885554718 |au jour de la planete| 12
|distance Terre planete=| 19.94755440484778 |10^8 km|
||
|position x y:| 449.65842284492766 403.4011325768249 |au jour de la planete| 13
|distance Terre planete=| 20.010522096326277 |10^8 km|
||
|position x y:| 449.6023304654207 403.6453096738963 |au jour de la planete| 14
|distance Terre planete=| 20.078365256764904 |10^8 km|
||
|position x y:| 449.54210663351637 403.88919942233974 |au jour de la planete| 15
|distance Terre planete=| 20.151033130531758 |10^8 km|
||
|position x y:| 449.4777563866746 404.13278142184464 |au jour de la planete| 16
|distance Terre planete=| 20.228471790251163 |10^8 km|
||
|position x y:| 449.40928510751223 404.3760352978421 |au jour de la planete| 17
|distance Terre planete=| 20.310624267173196 |10^8 km|
||
|position x y:| 449.3366985233522 404.61894070320955 |au jour de la planete| 18
|distance Terre planete=| 20.39743068475782 |10^8 km|
||
|position x y:| 449.26000270574474 404.8614773199722 |au jour de la planete| 19
|distance Terre planete=| 20.488828394569108 |10^8 km|
||
|position x y:| 449.1792040699596 405.10362486100297 |au jour de la planete| 20
|distance Terre planete=| 20.584752113598878 |10^8 km|
||
|position x y:| 449.09430937444915 405.3453630717192 |au jour de la planete| 21
|distance Terre planete=| 20.68513406217594 |10^8 km|
||
|position x y:| 449.0053257202834 405.58667173177696 |au jour de la planete| 22
|distance Terre planete=| 20.789904101661083 |10^8 km|
||
|position x y:| 448.91226055055574 405.8275306567624 |au jour de la planete| 23
|distance Terre planete=| 20.89898987117537 |10^8 km|
||
|position x y:| 448.8151216497606 406.0679196998799 |au jour de la planete| 24
|distance Terre planete=| 21.012316922667626 |10^8 km|
||
|position x y:| 448.7139171431421 406.3078187536375 |au jour de la planete| 25
|distance Terre planete=| 21.129808853684256 |10^8 km|
||
|position x y:| 448.6086554960146 406.5472077515287 |au jour de la planete| 26
|distance Terre planete=| 21.25138743726736 |10^8 km|
||
|position x y:| 448.4993455130544 406.7860666697109 |au jour de la planete| 27
|distance Terre planete=| 21.37697274847185 |10^8 km|
||
|position x y:| 448.3859963375634 407.0243755286805 |au jour de la planete| 28
|distance Terre planete=| 21.506483287057257 |10^8 km|
||
|position x y:| 448.2686174507045 407.26211439494364 |au jour de la planete| 29
|distance Terre planete=| 21.639836095973916 |10^8 km|
||
|position x y:| 448.147218670708 407.4992633826842 |au jour de la planete| 30
|distance Terre planete=| 21.776946875328193 |10^8 km|
||
|position x y:| 448.02181015205093 407.73580265542665 |au jour de la planete| 31
|distance Terre planete=| 21.917730091573244 |10^8 km|
||
|position x y:| 447.8924023846073 407.9717124276954 |au jour de la planete| 32
|distance Terre planete=| 22.062099081730402 |10^8 km|
||
|position x y:| 447.75900619277076 408.2069729666699 |au jour de la planete| 33
|distance Terre planete=| 22.209966152504222 |10^8 km|
||
|position x y:| 447.62163273454934 408.4415645938352 |au jour de la planete| 34
|distance Terre planete=| 22.361242674206775 |10^8 km|
||
|position x y:| 447.4802935006319 408.67546768662766 |au jour de la planete| 35
|distance Terre planete=| 22.515839169454555 |10^8 km|
||
|position x y:| 447.3350003134272 408.9086626800768 |au jour de la planete| 36
|distance Terre planete=| 22.673665396649692 |10^8 km|
||
|position x y:| 447.1857653260747 409.14113006844144 |au jour de la planete| 37
|distance Terre planete=| 22.83463042829478 |10^8 km|
||
|position x y:| 447.0326010214285 409.3728504068413 |au jour de la planete| 38
|distance Terre planete=| 22.998642724229562 |10^8 km|
||
|position x y:| 446.8755202110126 409.6038043128836 |au jour de la planete| 39
|distance Terre planete=| 23.165610199908865 |10^8 km|
||
|position x y:| 446.7145360339497 409.8339724682844 |au jour de la planete| 40
|distance Terre planete=| 23.33544028987045 |10^8 km|
||
|position x y:| 446.5496619558621 410.0633356204843 |au jour de la planete| 41
|distance Terre planete=| 23.50804000656406 |10^8 km|
||
|position x y:| 446.38091176774526 410.2918745842588 |au jour de la planete| 42
|distance Terre planete=| 23.683315994733935 |10^8 km|
||
|position x y:| 446.2082995848143 410.5195702433232 |au jour de la planete| 43
|distance Terre planete=| 23.861174581564736 |10^8 km|
||
|position x y:| 446.03183984532325 410.7464035519316 |au jour de la planete| 44
|distance Terre planete=| 24.04152182280998 |10^8 km|
||
|position x y:| 445.85154730935756 410.97235553647005 |au jour de la planete| 45
|distance Terre planete=| 24.224263545137138 |10^8 km|
||
|position x y:| 445.66743705759916 411.19740729704324 |au jour de la planete| 46
|distance Terre planete=| 24.409305384924217 |10^8 km|
||
|position x y:| 445.4795244900653 411.4215400090558 |au jour de la planete| 47
|distance Terre planete=| 24.596552823752642 |10^8 km|
||
|position x y:| 445.28782532482035 411.64473492478675 |au jour de la planete| 48
|distance Terre planete=| 24.78591122083777 |10^8 km|
||
|position x y:| 445.092355596661 411.8669733749577 |au jour de la planete| 49
|distance Terre planete=| 24.97728584264018 |10^8 km|
||
|position x y:| 444.89313165577494 412.0882367702944 |au jour de la planete| 50
|distance Terre planete=| 25.17058188989941 |10^8 km|
||
|position x y:| 444.6901701663735 412.3085066030816 |au jour de la planete| 51
|distance Terre planete=| 25.365704522324027 |10^8 km|
||
|position x y:| 444.48348810529734 412.52776444871125 |au jour de la planete| 52
|distance Terre planete=| 25.562558881170013 |10^8 km|
||
|position x y:| 444.273102760597 412.74599196722363 |au jour de la planete| 53
|distance Terre planete=| 25.76105010993084 |10^8 km|
||
|position x y:| 444.0590317300862 412.9631709048414 |au jour de la planete| 54
|distance Terre planete=| 25.96108337335391 |10^8 km|
||
|position x y:| 443.8412929198704 413.1792830954964 |au jour de la planete| 55
|distance Terre planete=| 26.16256387499254 |10^8 km|
||
|position x y:| 443.61990454284853 413.3943104623491 |au jour de la planete| 56
|distance Terre planete=| 26.365396873489008 |10^8 km|
||
|position x y:| 443.39488511719003 413.6082350193008 |au jour de la planete| 57
|distance Terre planete=| 26.569487697779692 |10^8 km|
||
|position x y:| 443.16625346478554 413.82103887249815 |au jour de la planete| 58
|distance Terre planete=| 26.774741761398232 |10^8 km|
||
|position x y:| 442.9340287096729 414.03270422182953 |au jour de la planete| 59
|distance Terre planete=| 26.981064576046727 |10^8 km|
||
|position x y:| 442.6982302764369 414.2432133624144 |au jour de la planete| 60
|distance Terre planete=| 27.188361764590933 |10^8 km|
||
|position x y:| 442.45887788858516 414.4525486860839 |au jour de la planete| 61
|distance Terre planete=| 27.39653907362972 |10^8 km|
||
|position x y:| 442.215991566898 414.6606926828538 |au jour de la planete| 62
|distance Terre planete=| 27.605502385774347 |10^8 km|
||
|position x y:| 441.96959162775386 414.8676279423893 |au jour de la planete| 63
|distance Terre planete=| 27.815157731765513 |10^8 km|
||
|position x y:| 441.7196986814298 415.073337155461 |au jour de la planete| 64
|distance Terre planete=| 28.02541130254752 |10^8 km|
||
|position x y:| 441.46633363037773 415.2778031153931 |au jour de la planete| 65
|distance Terre planete=| 28.236169461406565 |10^8 km|
||
|position x y:| 441.209517667476 415.48100871950237 |au jour de la planete| 66
|distance Terre planete=| 28.44733875627399 |10^8 km|
||
|position x y:| 440.9492722742565 415.68293697052883 |au jour de la planete| 67
|distance Terre planete=| 28.658825932284355 |10^8 km|
||
|position x y:| 440.6856192191081 415.88357097805755 |au jour de la planete| 68
|distance Terre planete=| 28.870537944671955 |10^8 km|
||
|position x y:| 440.41858055545555 416.0828939599314 |au jour de la planete| 69
