|position x y:| 563.3748286279897 400.49848784098134 |au jour de la planete| 1
|distance Terre planete=| 132.9543612356694 |10^8 km|
||
|position x y:| 563.3743145123192 400.62197542230183 |au jour de la planete| 2
|distance Terre planete=| 132.96744563629454 |10^8 km|
||
|position x y:| 563.3734576540694 400.7454624843012 |au jour de la planete| 3
|distance Terre planete=| 132.98970867389082 |10^8 km|
||
|position x y:| 563.3722580550423 400.86894876732015 |au jour de la planete| 4
|distance Terre planete=| 133.02114134636304 |10^8 km|
||
|position x y:| 563.37071571776 400.99243401170116 |au jour de la planete| 5
|distance Terre planete=| 133.06173088441275 |10^8 km|
||
|position x y:| 563.3688306454659 401.11591795778884 |au jour de la planete| 6
|distance Terre planete=| 133.1114607631801 |10^8 km|
||
|position x y:| 563.3666028421236 401.23940034593045 |au jour de la planete| 7
|distance Terre planete=| 133.1703107172998 |10^8 km|
||
|position x y:| 563.3640323124176 401.36288091647674 |au jour de la planete| 8
|distance Terre planete=| 133.23825675933406 |10^8 km|
||
|position x y:| 563.3611190617531 401.486359409782 |au jour de la planete| 9
|distance Terre planete=| 133.31527120153288 |10^8 km|
||
|position x y:| 563.3578630962559 401.6098355662051 |au jour de la planete| 10
|distance Terre planete=| 133.40132268086575 |10^8 km|
||
|position x y:| 563.3542644227721 401.7333091261098 |au jour de la planete| 11
|distance Terre planete=| 133.4963761872602 |10^8 km|
||
|position x y:| 563.350323048869 401.8567798298652 |au jour de la planete| 12
|distance Terre planete=| 133.60039309497532 |10^8 km|
||
|position x y:| 563.346038982834 401.98024741784656 |au jour de la planete| 13
|distance Terre planete=| 133.71333119702845 |10^8 km|
||
|position x y:| 563.3414122336756 402.1037116304355 |au jour de la planete| 14
|distance Terre planete=| 133.83514474259124 |10^8 km|
||
|position x y:| 563.3364428111224 402.22717220802093 |au jour de la planete| 15
|distance Terre planete=| 133.96578447725864 |10^8 km|
||
|position x y:| 563.3311307256237 402.3506288909993 |au jour de la planete| 16
|distance Terre planete=| 134.10519768609268 |10^8 km|
||
|position x y:| 563.3254759883494 402.4740814197753 |au jour de la planete| 17
|distance Terre planete=| 134.2533282393369 |10^8 km|
||
|position x y:| 563.3194786111899 402.5975295347623 |au jour de la planete| 18
|distance Terre planete=| 134.4101166406877 |10^8 km|
||
|position x y:| 563.3131386067558 402.72097297638305 |au jour de la planete| 19
|distance Terre planete=| 134.57550007801055 |10^8 km|
||
|position x y:| 563.3064559883787 402.84441148506994 |au jour de la planete| 20
|distance Terre planete=| 134.7494124763806 |10^8 km|
||
|position x y:| 563.2994307701101 402.96784480126587 |au jour de la planete| 21
|distance Terre planete=| 134.93178455332418 |10^8 km|
||
|position x y:| 563.2920629667221 403.09127266542475 |au jour de la planete| 22
|distance Terre planete=| 135.12254387613683 |10^8 km|
||
|position x y:| 563.2843525937074 403.2146948180117 |au jour de la planete| 23
|distance Terre planete=| 135.32161492114759 |10^8 km|
||
|position x y:| 563.2762996672784 403.33811099950407 |au jour de la planete| 24
|distance Terre planete=| 135.52891913480013 |10^8 km|
||
|position x y:| 563.2679042043685 403.4615209503917 |au jour de la planete| 25
|distance Terre planete=| 135.74437499641962 |10^8 km|
||
|position x y:| 563.2591662226309 403.58492441117744 |au jour de la planete| 26
|distance Terre planete=| 135.96789808253016 |10^8 km|
||
|position x y:| 563.2500857404391 403.7083211223779 |au jour de la planete| 27
|distance Terre planete=| 136.19940113259216 |10^8 km|
||
|position x y:| 563.240662776887 403.83171082452395 |au jour de la planete| 28
|distance Terre planete=| 136.43879411602586 |10^8 km|
||
|position x y:| 563.2308973517884 403.95509325816096 |au jour de la planete| 29
|distance Terre planete=| 136.68598430038674 |10^8 km|
||
|position x y:| 563.2207894856774 404.0784681638497 |au jour de la planete| 30
|distance Terre planete=| 136.94087632056474 |10^8 km|
||
|position x y:| 563.2103391998079 404.20183528216694 |au jour de la planete| 31
|distance Terre planete=| 137.20337224887436 |10^8 km|
||
|position x y:| 563.199546516154 404.32519435370557 |au jour de la planete| 32
|distance Terre planete=| 137.47337166591026 |10^8 km|
||
|position x y:| 563.1884114574098 404.4485451190755 |au jour de la planete| 33
|distance Terre planete=| 137.750771732041 |10^8 km|
||
|position x y:| 563.1769340469892 404.57188731890415 |au jour de la planete| 34
|distance Terre planete=| 138.03546725941916 |10^8 km|
||
|position x y:| 563.1651143090262 404.69522069383686 |au jour de la planete| 35
|distance Terre planete=| 138.3273507843877 |10^8 km|
||
|position x y:| 563.1529522683742 404.81854498453765 |au jour de la planete| 36
|distance Terre planete=| 138.62631264016636 |10^8 km|
||
|position x y:| 563.1404479506067 404.94185993168946 |au jour de la planete| 37
|distance Terre planete=| 138.93224102970623 |10^8 km|
||
|position x y:| 563.1276013820168 405.0651652759951 |au jour de la planete| 38
|distance Terre planete=| 139.24502209860185 |10^8 km|
||
|position x y:| 563.1144125896175 405.18846075817737 |au jour de la planete| 39
|distance Terre planete=| 139.5645400079589 |10^8 km|
||
|position x y:| 563.1008816011408 405.31174611897995 |au jour de la planete| 40
|distance Terre planete=| 139.89067700711493 |10^8 km|
||
|position x y:| 563.0870084450391 405.4350210991677 |au jour de la planete| 41
|distance Terre planete=| 140.22331350612 |10^8 km|
||
|position x y:| 563.0727931504834 405.5582854395274 |au jour de la planete| 42
|distance Terre planete=| 140.5623281478831 |10^8 km|
||
|position x y:| 563.058235747365 405.6815388808681 |au jour de la planete| 43
|distance Terre planete=| 140.90759787990314 |10^8 km|
||
|position x y:| 563.0433362662935 405.8047811640219 |au jour de la planete| 44
|distance Terre planete=| 141.25899802549685 |10^8 km|
||
|position x y:| 563.0280947385988 405.92801202984424 |au jour de la planete| 45
|distance Terre planete=| 141.6164023544547 |10^8 km|
||
|position x y:| 563.0125111963297 406.0512312192146 |au jour de la planete| 46
|distance Terre planete=| 141.97968315304672 |10^8 km|
||
|position x y:| 562.9965856722538 406.17443847303707 |au jour de la planete| 47
|distance Terre planete=| 142.34871129331705 |10^8 km|
||
|position x y:| 562.9803181998584 406.29763353224075 |au jour de la planete| 48
|distance Terre planete=| 142.72335630160367 |10^8 km|
||
|position x y:| 562.9637088133491 406.4208161377805 |au jour de la planete| 49
|distance Terre planete=| 143.1034864262261 |10^8 km|
||
|position x y:| 562.9467575476513 406.54398603063714 |au jour de la planete| 50
|distance Terre planete=| 143.4889687042943 |10^8 km|
||
|position x y:| 562.9294644384084 406.66714295181856 |au jour de la planete| 51
|distance Terre planete=| 143.87966902758419 |10^8 km|
||
|position x y:| 562.9118295219833 406.7902866423596 |au jour de la planete| 52
|distance Terre planete=| 144.27545220744702 |10^8 km|
||
|position x y:| 562.8938528354574 406.91341684332315 |au jour de la planete| 53
|distance Terre planete=| 144.6761820387086 |10^8 km|
||
|position x y:| 562.8755344166307 407.0365332958003 |au jour de la planete| 54
|distance Terre planete=| 145.08172136252847 |10^8 km|
||
|position x y:| 562.8568743040216 407.1596357409112 |au jour de la planete| 55
|distance Terre planete=| 145.49193212819074 |10^8 km|
||
|position x y:| 562.8378725368673 407.2827239198053 |au jour de la planete| 56
|distance Terre planete=| 145.90667545380165 |10^8 km|
||
|position x y:| 562.8185291551232 407.4057975736622 |au jour de la planete| 57
|distance Terre planete=| 146.3258116858745 |10^8 km|
||
|position x y:| 562.7988441994631 407.5288564436919 |au jour de la planete| 58
|distance Terre planete=| 146.74920045778526 |10^8 km|
||
